"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
242;"Fiorentina a Sottorovei";01/02/1993;;"IDRO";1052;"COLLE SANTA LUCIA (BL)";"BL";"LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PORT, PORT";1731286.304;5147367.119;46.44001853;12.01058641;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
244;"Belluno Via Miari";01/09/2003;23/09/2004;"METEO";383;"BELLUNO (BL)";"BL";"PREC";1748923;5113783;46.13198219;12.2220586;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
245;"Quero";01/11/2002;;"METEO";252;"QUERO VAS (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1727966;5089998;45.9255196;11.93977502;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
246;"Costalta";01/12/1992;;"METEO";1232;"SAN PIETRO DI CADORE (BL)";"BL";"ET0, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1773984;5164594;46.57877599;12.57556615;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
247;"Casamazzagno";01/12/1992;;"METEO";1342;"COMELICO SUPERIORE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1769316;5166067;46.59389393;12.51561664;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
248;"Piana di Marcesina - Rendole";13/05/1998;;"METEO";1310;"ENEGO (VI)";"VI";"DRAFF5M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1702486;5091759;45.94933182;11.61226574;"BRENTA: VENETO";"BRENTA: VALSUGANA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
250;"Arzignano";27/05/2004;19/02/2007;"METEO";79;"ARZIGNANO (VI)";"VI";"DVENTO2M, DVENTO2M, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1685670;5042038;45.50696161;11.37644712;"BRENTA: VENETO";"BRENTA - Bacchiglione - Fratta - Guà";"Vene-B Alto Brenta-Bacchiglione-Alpone";
251;"Bosco Chiesanuova";02/09/1999;;"METEO";1051;"BOSCO CHIESANUOVA (VR)";"VR";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1658960;5053799;45.61935401;11.03859258;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
252;"Venezia - Istituto Cavanis";01/03/2000;;"METEO";18;"VENEZIA (VE)";"VE";"DVENTO10M, DVENTO10M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, PRESS, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVMEDARIT10M";1760369.039;5036126.286;45.42996715;12.32809643;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
253;"Valeggio sul Mincio";01/10/2001;;"AGRO";120;"VALEGGIO SUL MINCIO (VR)";"VR";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1635662;5024463;45.36036737;10.73179344;"FISS.TAR.C.BIANCO";"FTC: ORIGINE NORD-OVEST";"Vene-C Adige-Garda e monti Lessini";
254;"Cartizze Bassa 107";31/07/2003;13/08/2009;"AGRO";207;"VALDOBBIADENE (TV)";"TV";"";1735618.802;5086879.387;45.89491086;12.03680532;"PIAVE: VENETO";"PIAVE: PEDEROBBA";"Vene-H Piave pedemontano";
255;"Cartizze Alta 249";31/07/2003;09/12/2008;"AGRO";312;"VALDOBBIADENE (TV)";"TV";"";1735139.844;5087470.306;45.90038568;12.03092956;"PIAVE: VENETO";"PIAVE: PEDEROBBA";"Vene-H Piave pedemontano";
256;"Andraz";01/02/1984;27/01/1993;"METEO";1401;"LIVINALLONGO DEL COL DI LANA (BL)";"BL";"DVENTO5M, DVENTO5M, PREC, RADSOL, TARIA2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1729204.853;5152151.313;46.48368377;11.98595807;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
257;"Longarone loc. Pirago";01/06/1984;01/01/1992;"METEO";491;"LONGARONE (BL)";"BL";"DVENTO5M, DVENTO5M, PREC, RADSOL, TARIA2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1754386.122;5128674.982;46.2642801;12.30083569;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
258;"Mondeval di Sopra (vecchia)";01/09/1988;01/09/1990;"METEO";2175;"SAN VITO DI CADORE (BL)";"BL";"PREC, TARIA2M";1738128.896;5150353.927;46.46438088;12.1010932;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
259;"Monselice";01/11/1985;31/07/1988;"METEO";6;"MONSELICE (PD)";"PD";"";1714768;5009150;45.20291396;11.73423868;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
260;"Colognola ai Colli";19/03/2004;;"AGRO";34;"COLOGNOLA AI COLLI (VR)";"VR";"BFOGL, ET0, HUMIDEX2M, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M";1673956.575;5032590.667;45.42497835;11.22419922;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
262;"Valpore (Seren del Grappa)";23/09/2004;;"METEO";1271;"SEREN DEL GRAPPA (BL)";"BL";"ET0, FREQGEONOR, PREC, PRECGEONOR, TARIA2M, TARIAMAX2M, TARIAMIN2M";1717711;5086478;45.89728311;11.80606051;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
263;"Mestre via Lissa";22/10/2004;12/09/2006;"METEO";20;"VENEZIA (VE)";"VE";"DVENTO2M, DVENTO2M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1751840.797;5042145.822;45.49187414;12.22383168;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
264;"Belluno - aeroporto";10/11/2004;;"METEO";377;"BELLUNO (BL)";"BL";"DVENTO10M, DVENTO10M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, PRESS, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVMEDARIT10M";1750560.407;5117458.213;46.16467858;12.24470834;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
265;"Galzignano - Ca' Demia";15/10/2004;;"AGRO";3;"GALZIGNANO (PD)";"PD";"BFOGL, DVENTO10M, DVENTO10M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVMEDARIT10M";1715069.362;5019991.542;45.30014284;11.74268777;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
266;"Santa Giustina Bellunese";22/06/2005;;"METEO";278;"SANTA GIUSTINA (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1737599;5107373;46.07841194;12.07247911;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-H Piave pedemontano";
267;"Teolo prove 7000";17/07/2005;31/12/2013;"AGRO";155;"TEOLO (PD)";"PD";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1709767;5024532;45.34272761;11.67713457;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
268;"Sella Ciampigotto";09/08/2005;;"METEO";1783;"VIGO DI CADORE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1775147.611;5154417.328;46.48692303;12.58466111;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
270;"Adige a Albaredo CAE";16/04/1986;;"CAEI";20;"ALBAREDO D'ADIGE (VR)";"VR";"LIDRO, LIDRO, PORT";1677656.979;5020790.446;45.31794837;11.26629117;"ADIGE: VENETO";"ADIGE";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
271;"Piave a Belluno Ponte Vittoria CAE";01/07/1988;;"CAEI";333;"BELLUNO (BL)";"BL";"LIDRO, PORT";1748644.701;5114020.935;46.13422168;12.21858643;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
272;"Brenta a Cismon del Grappa CAE";01/05/1984;30/12/2016;"CAEIM";190;"VALBRENTA (VI)";"VI";"LIDRO, PIOGCONT, PREC";1711243.708;5088984.282;45.92174927;11.72391438;"BRENTA: VENETO";"BRENTA: VALSUGANA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
273;"Alpone a Monteforte CAE";05/07/1986;;"CAEI";33;"MONTEFORTE D'ALPONE (VR)";"VR";"LIDRO";1678850.173;5031499.765;45.41396549;11.28538172;"ADIGE: VENETO";"ADIGE - Alpone";"Vene-B Alto Brenta-Bacchiglione-Alpone";
274;"Monteforte d'Alpone CAE";01/01/1987;11/11/2014;"CAEM";34;"MONTEFORTE D'ALPONE (VR)";"VR";"PIOGCONT, PREC";1679136.243;5032549.478;45.42333333;11.28941667;"ADIGE: VENETO";"ADIGE";"Vene-B Alto Brenta-Bacchiglione-Alpone";
275;"Piave a Perarolo CAE";01/05/1988;27/05/2011;"CAEI";535;"PERAROLO DI CADORE (BL)";"BL";"LIDRO, PORT";1757945.487;5142818.698;46.3895;12.35455556;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
276;"Bacchiglione a Ponte Marchese CAE";01/10/1994;;"CAEI";36;"VICENZA (VI)";"VI";"LIDRO";1697769.261;5050717.662;45.58168143;11.53469144;"BRENTA: VENETO";"BRENTA - Bacchiglione - Timonchio";"Vene-B Alto Brenta-Bacchiglione-Alpone";
277;"Cordevole a Ponte Mas CAE";14/04/1997;;"CAEI";363;"SOSPIROLO (BL)";"BL";"LIDRO, PORT";1741345.017;5115965.052;46.15431312;12.12522031;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-H Piave pedemontano";
278;"Agno a Recoaro Terme CAE";11/01/1994;;"CAEIM";471;"RECOARO TERME (VI)";"VI";"LIDRO, PIOGCONT, PORT, PREC, TARIA2M";1672435.79;5063344.847;45.70199328;11.21470019;"BRENTA: VENETO";"BRENTA - Bacchiglione - Agno";"Vene-B Alto Brenta-Bacchiglione-Alpone";
279;"Piave a S.Stefano di Cadore CAE";31/05/1988;01/03/2011;"CAEI";893;"SANTO STEFANO DI CADORE (BL)";"BL";"LIDRO";1770970.423;5161399.57;46.55130556;12.53444445;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
280;"Boite a S.Vito di Cadore CAE";01/05/1988;07/03/2011;"CAEI";946;"SAN VITO DI CADORE (BL)";"BL";"LIDRO";1746076.748;5149631.685;46.45513889;12.20402777;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
281;"Adige a Badia Polesine CAE";03/04/1985;;"CAEI";12;"BADIA POLESINE (RO)";"RO";"LIDRO";1695176.913;4997633.776;45.10504834;11.48053687;"ADIGE: VENETO";"ADIGE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
282;"Canal Bianco a Baricetta CAE";01/05/1986;18/07/2014;"CAEI";3;"ADRIA (RO)";"RO";"LIDRO, LIDRO";1736364.589;4993340.649;45.05388889;12.00138889;"FISS.TAR.C.BIANCO";"FTC: DELTA PO ADIGE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
283;"Brenta a Barzizza CAE";01/01/1984;;"CAEI";106;"BASSANO DEL GRAPPA (VI)";"VI";"LIDRO, LIDRO, PORT";1712306.431;5072965.754;45.77741451;11.73054326;"BRENTA: VENETO";"BRENTA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
284;"Adige a Boara Pisani CAE";06/11/1986;;"CAEI";6;"BOARA PISANI (PD)";"PD";"LIDRO, LIDRO, PORT";1719068.599;4998460.37;45.1054812;11.78424405;"ADIGE: VENETO";"ADIGE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
285;"Tesina a Bolzano Vicentino CAE";15/10/1994;;"CAEI";39;"BOLZANO VICENTINO (VI)";"VI";"LIDRO, LIDRO, PORT";1704424.536;5053068.483;45.60089375;11.62089522;"BRENTA: VENETO";"BRENTA - Bacchiglione - Tesina";"Vene-B Alto Brenta-Bacchiglione-Alpone";
286;"Frassine a Borgofrassine CAE";24/03/1994;;"CAEI";17;"MONTAGNANA (PD)";"PD";"LIDRO, LIDRO, PORT";1694722.153;5013894.802;45.25140892;11.48111185;"BRENTA: VENETO";"BRENTA - Fratta - Gorzone";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
287;"Bacchiglione a Bovolenta CAE";08/09/1998;;"CAEI";1;"BOVOLENTA (PD)";"PD";"LIDRO";1730563.311;5017438.671;45.27243536;11.9389414;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
288;"Frassine a Brancaglia CAE";04/03/1994;;"CAEI";11;"ESTE (PD)";"PD";"LIDRO";1707041.314;5013552.902;45.24481654;11.63779654;"BRENTA: VENETO";"BRENTA- Bacchiglione - Frassine";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
289;"Canal Bianco a Bussari CAE";01/05/1986;29/11/2017;"CAEI";7;"ARQUA' POLESINE (RO)";"RO";"LIDRO, LIDRO";1715054.828;4986252.226;44.99694444;11.72805556;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
290;"Canal Bianco a Canda CAE";01/08/1985;11/11/2014;"CAEI";9;"CASTELGUGLIELMO (RO)";"RO";"LIDRO, LIDRO";1696684.408;4989438.092;45.03092621;11.49646689;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
291;"Gorzone a Carmignano CAE";24/03/1994;;"CAEI";5;"SANT'URBANO (PD)";"PD";"LIDRO";1707873.969;5002325.324;45.14361507;11.6437112;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
292;"Muson dei Sassi a Castelfranco Veneto CAE";28/01/1998;;"CAEIM";42;"CASTELFRANCO VENETO (TV)";"TV";"LIDRO, LIDRO, PIOGCONT, PORT, PREC, TARIA2M";1727493.197;5061535.522;45.66983651;11.92027581;"BRENTA: VENETO";"BRENTA - Muson dei Sassi";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
293;"Adige a Cavarzere CAE";13/07/1985;;"CAEI";3;"CAVARZERE (VE)";"VE";"LIDRO";1742343.523;5002959.213;45.1383265;12.08186245;"ADIGE: VENETO";"ADIGE";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
294;"Livenza a Cessalto CAE";19/10/1989;;"CAEI";0;"CESSALTO (TV)";"TV";"LIDRO";1785930.805;5071053.276;45.7337044;12.67472018;"LIVENZA: VENETO";"LIVENZA";"Vene-G Livenza, Lemene e Tagliamento";
295;"Gua' a Cologna Veneta CAE";01/01/2002;;"CAEIM";21;"COLOGNA VENETA (VR)";"VR";"LIDRO, PIOGCONT, PREC, TARIA2M, UMID2M";1686828.109;5020897.144;45.31652621;11.38324121;"BRENTA: VENETO";"BRENTA - Bacchiglione - Fratta - Guà";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
296;"Meschio a Cordignano CAE";10/04/1991;;"CAEI";56;"CORDIGNANO (TV)";"TV";"LIDRO";1764719.091;5094005.513;45.94835609;12.41520288;"LIVENZA: VENETO";"LIVENZA";"Vene-G Livenza, Lemene e Tagliamento";
297;"Piave a Eraclea CAE";15/06/1988;;"CAEI";0;"ERACLEA (VE)";"VE";"LIDRO";1786681.34;5053265.188;45.57361976;12.67386876;"PIAVE: VENETO";"PIAVE: PEDEROBBA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
298;"Monticano a Fontanelle CAE";23/04/1991;;"CAEIM";18;"FONTANELLE (TV)";"TV";"LIDRO, LIDRO, PIOGCONT, PORT, PREC";1767168.941;5081710.143;45.83694613;12.43991791;"LIVENZA: VENETO";"LIVENZA - Monticano";"Vene-G Livenza, Lemene e Tagliamento";
299;"Monticano a Gorgo al Monticano CAE";18/04/1991;;"CAEIM";5;"GORGO AL MONTICANO (TV)";"TV";"LIDRO, PIOGCONT, PREC";1775115.168;5076355.569;45.78572084;12.53899329;"LIVENZA: VENETO";"LIVENZA - Monticano";"Vene-G Livenza, Lemene e Tagliamento";
300;"Livenza a La Salute di Livenza CAE";16/04/1991;;"CAEI";1;"SANTO STINO DI LIVENZA (VE)";"VE";"LIDRO";1796111.382;5062836.318;45.65562895;12.80027552;"LIVENZA: VENETO";"LIVENZA";"Vene-G Livenza, Lemene e Tagliamento";
301;"Adige a Legnago CAE";29/04/1986;;"CAEI";17;"LEGNAGO (VR)";"VR";"LIDRO";1681749.727;5007104.287;45.19380723;11.31345664;"ADIGE: VENETO";"ADIGE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
302;"Brenta a Limena CAE";21/02/1995;;"CAEI";19;"CURTAROLO (PD)";"PD";"LIDRO, PORT";1721202.681;5044390.218;45.51774109;11.83184737;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
303;"Bacchiglione a Longare CAE";02/03/1994;;"CAEI";23;"LONGARE (VI)";"VI";"LIDRO";1703479.819;5040150.953;45.48502277;11.60342307;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-B Alto Brenta-Bacchiglione-Alpone";
304;"Gua' a Lonigo CAE";01/01/1984;;"CAEI";31;"LONIGO (VI)";"VI";"LIDRO, LIDRO, PORT";1686946.229;5029281.37;45.39189742;11.38791918;"BRENTA: VENETO";"BRENTA - Agno - Guà";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
305;"Astico a Lugo di Vicenza CAE";30/09/1994;;"CAEIM";143;"LUGO DI VICENZA (VI)";"VI";"LIDRO, PIOGCONT, PREC, TARIA2M";1696323.653;5068319.678;45.74036652;11.52328382;"BRENTA: VENETO";"BRENTA - Bacchiglione - Astico";"Vene-B Alto Brenta-Bacchiglione-Alpone";
306;"Livenza a Meduna di Livenza CAE";31/07/1990;;"CAEI";2;"MEDUNA DI LIVENZA (TV)";"TV";"LIDRO, LIDRO, PORT";1780581.927;5078758.726;45.80510864;12.61057947;"LIVENZA: VENETO";"LIVENZA";"Vene-G Livenza, Lemene e Tagliamento";
307;"Gua' a Montebello Frigon CAE";01/01/2002;01/01/2005;"CAEI";48;"MONTEBELLO VICENTINO (VI)";"VI";"LIDRO";1687577.718;5035472.675;45.44740816;11.39833789;"BRENTA: VENETO";"BRENTA - Musone";"Vene-B Alto Brenta-Bacchiglione-Alpone";
308;"Bacchiglione a Montegalda CAE";31/07/1994;;"CAEI";22;"MONTEGALDA (VI)";"VI";"LIDRO, LIDRO, PORT";1709020.669;5035629.49;45.44273178;11.67232277;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
309;"Piave a Nervesa della Battaglia CAE";01/05/1988;;"CAEI";78;"NERVESA DELLA BATTAGLIA (TV)";"TV";"LIDRO, PORT";1749045.522;5080289.93;45.83096877;12.20619641;"PIAVE: VENETO";"PIAVE: PEDEROBBA";"Vene-H Piave pedemontano";
310;"Monticano a Oderzo CAE";03/08/1989;;"CAEI";12;"ODERZO (TV)";"TV";"LIDRO";1771626.916;5075950.28;45.7834602;12.49397408;"LIVENZA: VENETO";"LIVENZA - Monticano";"Vene-G Livenza, Lemene e Tagliamento";
311;"Adige a Pescantina ponte tangenziale CAE";05/07/1986;16/11/2009;"CAEI";77;"PESCANTINA (VR)";"VR";"LIDRO";1645409.71;5037743.68;45.47788889;10.86011112;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
312;"Lago di Garda a Peschiera Navigarda CAE";07/06/1986;;"CAEI";65;"PESCHIERA DEL GARDA (VR)";"VR";"LIDRO";1632613.48;5033341.595;45.44083334;10.69527778;"PO: VENETO";"PO: LAGO BENACO O DI GARDA";"Vene-C Adige-Garda e monti Lessini";
313;"Gua' a Ponte Arzignano CAE";01/06/1997;;"CAEI";83;"ARZIGNANO (VI)";"VI";"LIDRO";1685595.775;5042611.047;45.51213484;11.37571468;"BRENTA: VENETO";"BRENTA - Bacchiglione - Fratta - Guà";"Vene-B Alto Brenta-Bacchiglione-Alpone";
314;"Cassa di espansione del fiume Gua' a Ponte Asse CAE";01/06/1997;;"CAEI";53;"MONTEBELLO VICENTINO (VI)";"VI";"LIDRO";1687682.086;5037144.1;45.46241147;11.40030958;"BRENTA: VENETO";"BRENTA - Agno - Guà";"Vene-B Alto Brenta-Bacchiglione-Alpone";
315;"Agno a Ponte Brogliano CAE";01/06/1997;;"CAEIM";155;"BROGLIANO (VI)";"VI";"LIDRO, LIDRO, PIOGCONT, PORT, PREC, TARIA2M";1684874.977;5051259.961;45.59010662;11.3697627;"BRENTA: VENETO";"BRENTA - Agno - Guà";"Vene-B Alto Brenta-Bacchiglione-Alpone";
316;"Piave a Ponte di Piave CAE";14/03/1990;;"CAEI";3;"PONTE DI PIAVE (TV)";"TV";"LIDRO, PORT";1768917.199;5067797.397;45.71127406;12.45465245;"PIAVE: VENETO";"PIAVE";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
317;"Gua' a Ponte Gua' CAE";01/01/1984;;"CAEIM";71;"MONTECCHIO MAGGIORE (VI)";"VI";"LIDRO, PIOGCONT, PREC";1686915.298;5040431.439;45.4921808;11.39176197;"BRENTA: VENETO";"BRENTA - Bacchiglione - Fratta - Guà";"Vene-B Alto Brenta-Bacchiglione-Alpone";
318;"Adige a Porto Fossone CAE";01/01/2002;19/04/2008;"CAEI";1;"ROSOLINA (RO)";"RO";"LIDRO";1760016.579;5004147.584;45.14272222;12.30688889;"ADIGE: VENETO";"ADIGE";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
319;"Po a Porto Levante CAE";13/07/1985;;"CAEI";1;"PORTO VIRO (RO)";"RO";"LIDRO";1764783.668;4993814.369;45.04809594;12.3619587;"FISS.TAR.C.BIANCO";"PO";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
320;"Lemene a Portogruaro CAE";01/01/1986;;"CAEI";5;"PORTOGRUARO (VE)";"VE";"LIDRO";1798389.097;5077538.302;45.78668228;12.83849076;"LEMENE: VENETO";"LEMENE";"Vene-G Livenza, Lemene e Tagliamento";
321;"Retrone a Vicenza S.Agostino CAE";01/03/1994;;"CAEIM";28;"VICENZA (VI)";"VI";"LIDRO, PIOGCONT, PREC, TARIA2M";1696932.134;5044441.836;45.52548627;11.52144451;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-B Alto Brenta-Bacchiglione-Alpone";
322;"Alpone a S.Bonifacio CAE";04/03/2015;;"CAEI";25;"SAN BONIFACIO (VR)";"VR";"LIDRO, PORT";1676868.048;5029882.178;45.39992063;11.25948928;"ADIGE: VENETO";"ADIGE - Alpone";"Vene-B Alto Brenta-Bacchiglione-Alpone";
323;"Piave a S.Dona' di Piave CAE";22/06/1988;;"CAEI";4;"SAN DONA' DI PIAVE (VE)";"VE";"LIDRO";1777781.799;5058628.547;45.62541034;12.56308668;"PIAVE: VENETO";"PIAVE";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
324;"Adige a S.Martino B.Albergo CAE";01/05/1986;;"CAEI";42;"SAN MARTINO BUON ALBERGO (VR)";"VR";"LIDRO, LIDRO";1661617.212;5028060.542;45.38722222;11.06416666;"ADIGE: VENETO";"ADIGE";"Vene-C Adige-Garda e monti Lessini";
325;"Fratta a S.Salvaro CAE";01/04/2001;;"CAEI";15;"URBANA (PD)";"PD";"LIDRO, PORT";1689149.94;5008444.141;45.20390985;11.40809307;"BRENTA: VENETO";"BRENTA - Bacchiglione - Fratta - Guà";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
326;"Mincio a Salionze CAE";01/01/2002;14/10/2009;"CAEI";63;"MONZAMBANO (MN)";"MN";"LIDRO, LIDRO, LIDRO";1634036.243;5028159.188;45.39393546;10.71204984;"PO: VENETO";"PO: CORSO POLESANO";"Lomb-G Garda-Valcamonica";
327;"Piave a Segusino CAE";01/07/1988;;"CAEI";179;"SEGUSINO (TV)";"TV";"LIDRO, LIDRO, PORT";1728681.092;5089687.411;45.92249042;11.94883728;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
328;"Gorzone a Stanghella CAE";06/11/2007;;"CAEI";2;"STANGHELLA (PD)";"PD";"LIDRO, LIDRO, PORT, PORT";1716767.514;5002777.806;45.14500912;11.75689995;"BRENTA: VENETO";"BRENTA - Fratta - Gorzone";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
329;"Brenta a Stra CAE";27/01/1998;;"CAEI";7;"VIGONOVO (VE)";"VE";"LIDRO";1734777.288;5032467.54;45.40613377;11.99972092;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
